x y z
0.832 0.105 3
0.833 0.137 2
0.165 0.08 3
0.835 0.171 3
0.836 0.135 2
0.837 0.123 3
0.838 0.13 3
0.843 0.103 3
0.843 0.17 2
0.845 0.129 3
0.846 0.108 3
0.848 0.177 2
0.848 0.155 2
0.165 0.005 3
0.848 0.163 2
0.849 0.117 2
0.849 0.136 3
0.854 0.14 3
0.854 0.172 2
0.856 0.197 2
0.857 0.162 3
0.858 0.11 3
0.859 0.106 3
0.861 0.149 3
0.169 0.01 3
0.862 0.11 2
0.862 0.118 2
0.864 0.106 2
0.864 0.144 3
0.864 0.187 2
0.866 0.152 3
0.866 0.178 3
0.867 0.192 2
0.868 0.144 3
0.869 0.173 3
0.169 0.015 3
0.87 0.154 3
0.871 0.103 2
0.871 0.193 3
0.871 0.14 3
0.874 0.182 3
0.874 0.114 2
0.876 0.13 3
0.877 0.143 3
0.877 0.169 3
0.877 0.198 2
0.17 0.026 3
0.879 0.193 3
0.88 0.177 3
0.881 0.138 3
0.881 0.161 3
0.882 0.183 3
0.883 0.197 3
0.886 0.118 3
0.889 0.169 3
0.89 0.142 3
0.891 0.178 3
0.171 0.082 3
0.891 0.124 2
0.891 0.153 3
0.891 0.148 2
0.892 0.116 3
0.892 0.132 2
0.894 0.141 3
0.894 0.189 3
0.898 0.179 3
0.898 0.192 3
0.898 0.11 1
0.173 0.097 3
0.898 0.153 3
0.898 0.124 3
0.898 0.106 3
0.9 0.11 3
0.901 0.151 3
0.901 0.19 3
0.902 0.105 1
0.902 0.118 3
0.903 0.137 2
0.904 0.132 3
0.175 0.06 3
0.906 0.117 3
0.906 0.187 3
0.906 0.102 3
0.907 0.124 2
0.907 0.141 3
0.908 0.131 2
0.908 0.119 3
0.909 0.166 2
0.91 0.185 3
0.912 0.1 3
0.176 0.003 3
0.01 0.083 3
0.914 0.167 2
0.915 0.131 2
0.917 0.197 3
0.919 0.126 3
0.919 0.151 2
0.92 0.177 2
0.92 0.132 3
0.923 0.124 3
0.924 0.197 3
0.925 0.172 2
0.178 0.009 3
0.928 0.182 2
0.928 0.119 3
0.93 0.155 2
0.932 0.14 2
0.933 0.103 3
0.934 0.165 2
0.934 0.112 3
0.935 0.182 2
0.94 0.135 3
0.941 0.163 2
0.178 0.094 3
0.942 0.118 3
0.942 0.172 2
0.943 0.153 2
0.943 0.181 2
0.943 0.113 3
0.95 0.131 3
0.95 0.187 2
0.951 0.198 2
0.952 0.101 3
0.952 0.166 2
0.181 0.097 3
0.953 0.148 2
0.956 0.148 2
0.957 0.103 3
0.957 0.175 2
0.959 0.117 3
0.959 0.127 3
0.961 0.157 2
0.961 0.179 2
0.962 0.161 2
0.963 0.11 3
0.183 0.047 1
0.964 0.101 3
0.966 0.179 2
0.967 0.119 3
0.967 0.171 3
0.968 0.151 2
0.969 0.126 3
0.969 0.188 2
0.97 0.104 3
0.97 0.198 3
0.971 0.135 3
0.185 0.024 3
0.972 0.122 3
0.974 0.144 2
0.975 0.109 3
0.975 0.147 2
0.975 0.125 3
0.976 0.181 3
